dataset,model,task_type,train_size,test_size,test_rmse,test_r2,test_mae,valid_rmse,valid_r2,embed_time,train_time,total_time,status,test_auc,test_f1,test_acc,valid_auc
Caco2_Wang,Morgan-FP,regression,637,182,0.6137966415307186,0.2002980991329233,0.48834803797597376,0.6171436073609106,0.3546032808004942,1.6589961051940918,0.4290008544921875,2.0879969596862793,success,,,,
Caco2_Wang,ChemBERTa,regression,637,182,0.4957673736797603,0.4782829885441562,0.37855592307943825,0.6668760505572792,0.2463936907189006,33.05631160736084,0.40000247955322266,33.45631408691406,success,,,,
Caco2_Wang,BioMed-IBM,regression,637,182,,,,,,,,,skipped,,,,
Caco2_Wang,MolCLR,regression,637,182,0.7130148772951561,-0.07913628614562684,0.575582411386142,0.7819794190662681,-0.03620320183881098,1.6849980354309082,0.2089989185333252,1.8939969539642334,success,,,,
Caco2_Wang,MolE-FP,regression,637,182,0.6699750892898277,0.04721168298048839,0.5362094378616166,0.6980350612720454,0.17432571660859775,1.706801176071167,0.4510016441345215,2.1578028202056885,success,,,,
Half_Life_Obach,Morgan-FP,regression,466,135,22.123402589009988,-0.03949306360412619,9.810519472192835,106.10949436241147,-0.022642683679406472,0.9559767246246338,0.13100099563598633,1.0869777202606201,success,,,,
Half_Life_Obach,ChemBERTa,regression,466,135,27.39479005381212,-0.5938729630242279,17.14835866490117,109.6772535831119,-0.09256820819964884,24.11602282524109,0.15599822998046875,24.272021055221558,success,,,,
Half_Life_Obach,BioMed-IBM,regression,466,135,,,,,,,,,skipped,,,,
Half_Life_Obach,MolCLR,regression,466,135,21.97159571599864,-0.025276372883479503,8.927217044971608,107.97397588732315,-0.058896743402901075,1.1639986038208008,0.1120004653930664,1.2759990692138672,success,,,,
Half_Life_Obach,MolE-FP,regression,466,135,25.0124008288518,-0.3287048193293387,14.435755831965693,104.935408178826,-0.00013710056551441419,0.9380021095275879,0.1329965591430664,1.0709986686706543,success,,,,
Clearance_Hepatocyte_AZ,Morgan-FP,regression,849,243,48.357278345793695,-0.014694168986095324,38.073889322791075,46.43163561518857,0.13713290048777926,1.6099748611450195,0.3210008144378662,1.9309756755828857,success,,,,
Clearance_Hepatocyte_AZ,ChemBERTa,regression,849,243,47.312850911308374,0.028663517116449544,40.66834776450577,49.93487985882165,0.002015115371399312,24.895912885665894,0.24700069427490234,25.142913579940796,success,,,,
Clearance_Hepatocyte_AZ,BioMed-IBM,regression,849,243,,,,,,,,,skipped,,,,
Clearance_Hepatocyte_AZ,MolCLR,regression,849,243,48.710399077053026,-0.02956753681260893,41.86890706443002,51.05177861722372,-0.04312823163088986,2.1230015754699707,0.18399882316589355,2.3070003986358643,success,,,,
Clearance_Hepatocyte_AZ,MolE-FP,regression,849,243,47.22391197651993,0.03231193113565256,38.00101126745404,47.10869905257944,0.11178486969233303,1.7360002994537354,0.2239992618560791,1.9599995613098145,success,,,,
Clearance_Microsome_AZ,Morgan-FP,regression,771,221,40.35958344039684,0.12232561381353813,29.415045211930085,43.42728332509146,-0.10258552012406219,1.619002103805542,0.4360039234161377,2.0550060272216797,success,,,,
Clearance_Microsome_AZ,ChemBERTa,regression,771,221,42.5634415336387,0.023856770325592747,31.505549454149616,40.48045836585129,0.041972879869446866,20.515965938568115,0.2960014343261719,20.811967372894287,success,,,,
Clearance_Microsome_AZ,BioMed-IBM,regression,771,221,,,,,,,,,skipped,,,,
Clearance_Microsome_AZ,MolCLR,regression,771,221,43.32768408556525,-0.01151196923756026,33.889557480272664,41.20401743772366,0.007418708727900181,1.6470038890838623,0.8089988231658936,2.456002712249756,success,,,,
Clearance_Microsome_AZ,MolE-FP,regression,771,221,41.78548679126417,0.05921365367062392,30.26078665547781,41.60340597573317,-0.011916631976145675,1.5890007019042969,0.3331012725830078,1.9221019744873047,success,,,,
tox21,Morgan-FP,classification,5080,1453,,,,,,8.91699767112732,1.3630292415618896,10.280026912689209,success,0.7223558427264019,0.30952380952380953,0.9600825877494839,0.877444203041675
tox21,ChemBERTa,classification,5080,1453,,,,,,159.97983312606812,1.425610065460205,161.40544319152832,success,0.7279407268502476,0.32989690721649484,0.9552649690295939,0.8962818487063007
tox21,BioMed-IBM,classification,5080,1453,,,,,,,,,skipped,,,,
tox21,MolCLR,classification,5080,1453,,,,,,8.351061820983887,0.7890269756317139,9.1400887966156,success,0.538202441858095,0.0,0.9511355815554026,0.5140850286391467
tox21,MolE-FP,classification,5080,1453,,,,,,9.221884727478027,1.8050010204315186,11.026885747909546,success,0.6748537534905525,0.391304347826087,0.961459050240881,0.8590262690104681
herg,Morgan-FP,classification,458,132,,,,,,0.8800010681152344,0.10499882698059082,0.9849998950958252,success,0.6110456553755523,0.8471615720524017,0.7348484848484849,0.655
herg,ChemBERTa,classification,458,132,,,,,,16.84921360015869,0.2053971290588379,17.05461072921753,success,0.7702503681885126,0.8727272727272727,0.7878787878787878,0.797
herg,BioMed-IBM,classification,458,132,,,,,,,,,skipped,,,,
herg,MolCLR,classification,458,132,,,,,,1.109997034072876,0.12099885940551758,1.2309958934783936,success,0.5041237113402062,0.8471615720524017,0.7348484848484849,0.41100000000000003
herg,MolE-FP,classification,458,132,,,,,,1.0919997692108154,0.255007266998291,1.3470070362091064,success,0.6723122238586156,0.8571428571428571,0.7651515151515151,0.6759999999999999
