model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,val_log_rmse,test_rmse,test_log_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
SAGE,2,256,GraphNorm,gelu,1,mean,True,True,0.001,0.001,0.3,Half_Life_Obach,107.44889319317114,1.180459985256454,18.64981453729207,0.9461636112192395,28.003976821899414,8.561599731445312,-0.0486238528855103,0.2613021751529623,26,59.05,42,True,
SAGE,4,128,BatchNorm,relu,1,mean,True,True,0.001,0.001,0.1,Half_Life_Obach,106.2465992102806,1.1638444709827678,17.967681693786172,0.8869010959624909,26.033512115478516,8.165290832519531,-0.025288096902668755,0.3143509540599413,27,58.2,42,True,
GAT,4,256,LayerNorm,swish,2,max,False,True,0.0001,0.001,0.2,Half_Life_Obach,106.1930867791661,1.287127988053766,18.41010113308639,1.0028011851840515,26.132083892822266,8.2539701461792,-0.02425555859692574,0.28016968267136944,33,125.77,42,True,
SGC,3,64,BatchNorm,leaky_relu,1,mean,True,False,0.0001,0.0001,0.2,Half_Life_Obach,106.90872092292096,1.3027012741631003,20.489167119194505,0.9755090552608986,26.848831176757812,8.392969131469727,-0.03810696993957308,0.10840752359224504,2,28.35,42,True,5.0
TAG,2,256,GraphNorm,relu,1,max,True,False,0.001,0.001,0.2,Half_Life_Obach,105.37648278909293,1.1678889340506018,16.746243639258047,0.9004460590351555,25.357280731201172,7.5106096267700195,-0.008563477645070927,0.4044028699574834,25,70.22,42,True,
GAT,4,64,BatchNorm,gelu,4,mean,True,True,0.0005,0.0001,0.2,Half_Life_Obach,105.34239190017473,1.182467470607826,17.2211345260768,0.964796322396735,25.412424087524414,8.753618240356445,-0.007911012068484213,0.37014395157108926,91,155.8,42,True,
SGC,2,128,GraphNorm,gelu,1,add,False,True,0.001,0.001,0.1,Half_Life_Obach,105.43413320795358,1.1754148405997236,16.821238689374866,0.8730833274490689,24.63140106201172,7.212551593780518,-0.009667329480392173,0.39905637509074066,22,59.34,42,True,5.0
GAT,2,128,GraphNorm,leaky_relu,8,add,True,False,0.0001,1e-05,0.1,Half_Life_Obach,106.96907865856609,1.2931299361399975,20.677825048357207,0.9640587178261543,26.70115852355957,8.346550941467285,-0.039279474351876065,0.09191291610494856,1,26.11,42,True,
SGC,3,128,BatchNorm,gelu,1,add,False,True,0.001,0.0001,0.2,Half_Life_Obach,106.13400837796998,1.1971313771362626,18.663401908569114,0.8835013202699926,25.417720794677734,8.054886817932129,-0.023116227393655375,0.26022542258633363,31,88.62,42,True,5.0
Graph,2,128,BatchNorm,gelu,1,add,False,False,0.001,0.0001,0.2,Half_Life_Obach,106.50358525361952,1.1444456826280587,21.423023908149396,1.0027572738625203,27.667207717895508,9.966748237609863,-0.03025396663768576,0.025281227315153032,29,32.21,42,True,
