model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,K,dataset,val_rmse,val_log_rmse,val_spearman,test_rmse,test_log_rmse,test_spearman,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success
SGC,2,256,BatchNorm,relu,1,mean,True,True,0.001,1e-05,0.1,2.0,Clearance_Hepatocyte_AZ,47.08409095537207,1.0525555848411567,0.5188418980760106,49.70122157232405,1.2350105374726343,0.3470130083568022,28.289167404174805,32.946781158447266,0.11271259717761484,-0.07187857308801315,20,95.4,42,True
SAGE,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.1,,Clearance_Hepatocyte_AZ,42.54716764497227,1.021490603960573,0.5524790742566762,290.87217983162293,1.2476222354960806,0.39108898367874095,26.278663635253906,50.979576110839844,0.2754685450910681,-35.71265849242474,16,61.53,42,True
SGC,3,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,3.0,Clearance_Hepatocyte_AZ,44.052921720464525,1.049049845590883,0.5317392961831751,210.76996124329483,1.2502534940527366,0.35866610969463536,25.53095054626465,45.24409103393555,0.2232784217498457,-18.276531600386413,26,148.37,42,True
GIN,4,256,BatchNorm,gelu,1,mean,True,False,0.001,1e-05,0.2,,Clearance_Hepatocyte_AZ,44.99282033653745,1.006635890025806,0.5775771622399375,87.37555044980404,1.2749012127896007,0.3369036420035827,26.18691635131836,37.27200698852539,0.18978109857106273,-2.312770214574114,36,210.29,42,True
SGC,4,128,BatchNorm,relu,1,add,True,True,0.001,0.0001,0.2,3.0,Clearance_Hepatocyte_AZ,48.00385268962143,1.0630025445705935,0.49366739115163016,48.7647138251946,1.1922923528661284,0.36836443179043665,28.07065773010254,31.346614837646484,0.07770867347920929,-0.03186486048132431,12,119.64,42,True
TAG,3,128,BatchNorm,gelu,1,mean,True,False,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,47.97681884498362,1.0630231043330187,0.5125406436801035,48.282200637890355,1.2041283683777888,0.32315691366205157,28.74725341796875,32.7358512878418,0.07874717594848635,-0.011545858043798374,6,83.64,42,True
SAGE,3,256,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.2,,Clearance_Hepatocyte_AZ,43.541357965911274,1.0090244044449892,0.5751898618800104,1404.208807478432,1.2735057234239997,0.36264633069806607,26.86815071105957,122.97966003417969,0.24121301153306463,-854.6080236970452,39,165.28,42,True
SAGE,2,256,BatchNorm,gelu,1,add,True,False,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,45.18828880708474,1.0583698516565776,0.5697637540026882,619.4858755451976,1.3362914504017511,0.3390443116353569,27.155067443847656,74.0254135131836,0.18272591654829484,-165.523020896576,28,103.97,42,True
SAGE,4,256,BatchNorm,gelu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,44.84066572581606,1.03618952150004,0.5358427341683877,63.08136641721151,1.2178333978846223,0.3733723516258678,27.575551986694336,34.588951110839844,0.19525175330348465,-0.7266871119824383,13,115.81,42,True
GIN,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,46.20632703649063,1.0635206721973633,0.5021605597663711,55.98182601300176,1.3171726117988032,0.2797211257804532,27.284269332885742,37.52281188964844,0.14548669152441118,-0.3598956468935972,16,61.08,42,True
Graph,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.2,,Clearance_Hepatocyte_AZ,46.795343777119,1.04503566680686,0.523696425192792,49.04649420447908,1.2034846934644088,0.3292010634173494,28.9188289642334,32.816036224365234,0.12356195793869607,-0.0438243002348957,8,45.73,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,42.662216272313195,1.051205506197264,0.5011495677989998,552.2539327610081,1.2430197648830816,0.39590972240410605,25.71710777282715,70.30318450927734,0.2715449443993715,-131.3393806592708,16,123.8,42,True
SGC,4,128,BatchNorm,gelu,1,mean,True,True,0.0005,1e-05,0.1,2.0,Clearance_Hepatocyte_AZ,43.48141608689711,1.0435934874320594,0.5692741699457821,1404.4459316755488,1.3397433280051039,0.37047968467244674,26.46436882019043,125.70176696777344,0.2433007649917185,-854.8970156117558,27,123.23,42,True
SAGE,4,128,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,44.90684395266564,1.0276818851840697,0.5726224520267367,61.47756474354588,1.1876663939834011,0.431706259981084,26.475378036499023,34.013431549072266,0.1928746203695989,-0.6400035001894693,13,81.18,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,48.782864022785965,1.1402242622280159,0.4683169664788079,55.390175421306665,1.297856856979861,0.333841485839865,30.402185440063477,36.31374740600586,0.047531714729977526,-0.3313031033777354,15,117.71,42,True
SAGE,2,128,BatchNorm,relu,1,mean,True,True,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,45.47167086838244,1.0263064686517274,0.5762035288695188,419.82907608335086,1.2710729418502724,0.3782321204092052,27.15346336364746,59.983795166015625,0.1724432959379294,-75.48151631936852,14,56.87,42,True
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Hepatocyte_AZ,47.440351116560045,1.0409942673347654,0.5476127196439852,181.2423705290791,1.2048631270027208,0.38336333339170947,27.787548065185547,42.166812896728516,0.09923453925540349,-13.25380886613671,9,65.83,42,True
SAGE,3,256,BatchNorm,relu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,45.923331679856645,1.0720810968485175,0.5066539603077499,61.91243540843087,1.2259292291853872,0.3605125943738408,28.7946720123291,35.638038635253906,0.15592174569255535,-0.6632871758206396,6,70.45,42,True
TAG,4,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,48.0444740253757,1.0575749854653442,0.5134326954160194,77.97549131678332,1.1508827304467577,0.4413790797176664,28.289535522460938,34.85955047607422,0.07614710893634924,-1.6383214176106344,16,127.3,42,True
SAGE,3,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Hepatocyte_AZ,47.40915964208551,1.0642145895116835,0.4900830288351531,50.928440528721275,1.2176630330609486,0.3331025862188703,28.270301818847656,32.6887321472168,0.10041863531512296,-0.12546558399506536,12,46.9,42,True
