model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,test_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
GIN,3,64,GraphNorm,gelu,1,mean,True,True,0.0001,0.0001,0.2,Clearance_Microsome_AZ,41.15717242227502,43.10001823973657,26.739593505859375,28.942852020263672,0.009674499757138855,-0.0009098430574983052,1,39.35,42,True,
Transformer,2,128,LayerNorm,leaky_relu,8,mean,True,False,0.001,0.001,0.2,Clearance_Microsome_AZ,37.27906106052951,39.73409236037895,23.882022857666016,23.883384704589844,0.18751223050601906,0.14931916995845995,87,205.86,42,True,
GCN,4,128,BatchNorm,gelu,1,add,False,False,0.001,0.001,0.1,Clearance_Microsome_AZ,34.87785431587912,36.48991526457173,21.97564125061035,22.96297836303711,0.2888087248058716,0.28255971021830806,39,102.84,42,True,
GCN,3,256,GraphNorm,swish,1,add,False,True,0.001,1e-05,0.3,Clearance_Microsome_AZ,38.606137308601916,41.07668520441751,24.250391006469727,27.527606964111328,0.1286360197126858,0.09085986252970613,7,61.55,42,True,
Transformer,4,128,BatchNorm,relu,8,add,False,False,0.0005,1e-05,0.3,Clearance_Microsome_AZ,39.247732692276315,41.629262345115336,24.652069091796875,27.15449333190918,0.0994329612690299,0.06623523280912658,21,94.37,42,True,
Graph,4,64,BatchNorm,gelu,1,max,False,True,0.0001,1e-05,0.2,Clearance_Microsome_AZ,41.53128086200885,43.490874637765245,25.685012817382812,28.734586715698242,-0.008410948427836074,-0.019145839363928996,1,29.97,42,True,
Graph,4,64,BatchNorm,relu,1,max,True,False,0.0001,1e-05,0.1,Clearance_Microsome_AZ,41.30007466085488,43.1551906889361,26.342159271240234,28.9782657623291,0.0027855222781125732,-0.0034740179723102838,1,30.85,42,True,
SAGE,2,128,BatchNorm,relu,1,mean,False,False,0.0001,0.0001,0.2,Clearance_Microsome_AZ,42.011452702841936,43.88878099988937,24.850078582763672,27.84634780883789,-0.031863617243788944,-0.03787987164457918,1,27.11,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.0005,1e-05,0.3,Clearance_Microsome_AZ,38.5895730912793,41.24821551537866,25.890506744384766,26.85664939880371,0.12938358820601736,0.08325113306143983,43,102.87,42,True,
GCN,3,256,BatchNorm,gelu,1,mean,False,True,0.0005,0.001,0.1,Clearance_Microsome_AZ,34.185916396709516,50.122869051493105,23.945980072021484,27.740306854248047,0.316747304150258,-0.3536671713457509,42,146.75,42,True,
GIN,4,128,LayerNorm,relu,1,max,False,True,0.0001,1e-05,0.1,Clearance_Microsome_AZ,41.96658740007117,43.93912525888089,24.754961013793945,27.454132080078125,-0.02966087723933275,-0.040262314732031124,4,46.99,42,True,
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,Clearance_Microsome_AZ,37.98432840134945,37.67431652965403,23.247974395751953,23.89398765563965,0.15647918148422402,0.23523004664450275,40,115.65,42,True,
SGC,2,128,LayerNorm,swish,1,max,True,True,0.0001,1e-05,0.2,Clearance_Microsome_AZ,42.379919976180936,44.07749080100295,24.55662727355957,26.868305206298828,-0.0500431983970413,-0.046824260981899846,1,29.59,42,True,2.0
Graph,3,64,LayerNorm,relu,1,add,False,False,0.001,0.001,0.3,Clearance_Microsome_AZ,39.32869921610998,41.29143722475566,27.610340118408203,28.785076141357422,0.0957134601009676,0.08132890625919842,29,65.86,42,True,
TAG,4,256,GraphNorm,relu,1,mean,True,True,0.0001,0.0001,0.3,Clearance_Microsome_AZ,37.23404223781226,38.945355598020285,22.083913803100586,23.358625411987305,0.1894733934842291,0.18275664227198107,76,428.01,42,True,
Graph,4,64,LayerNorm,gelu,1,max,True,True,0.001,1e-05,0.2,Clearance_Microsome_AZ,41.09574466404262,42.83422122336882,27.914030075073242,30.305259704589844,0.012628447967877432,0.011397275706388377,2,25.43,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.001,0.001,0.2,Clearance_Microsome_AZ,37.56664000687645,38.91162111519514,23.655908584594727,24.096723556518555,0.17492845823044056,0.18417182214801275,49,82.44,42,True,
GAT,2,128,LayerNorm,leaky_relu,4,add,True,True,0.0001,1e-05,0.1,Clearance_Microsome_AZ,42.628949024364594,44.45207187900174,24.133466720581055,26.661075592041016,-0.062419792502105054,-0.0646921894975574,32,63.85,42,True,
SGC,2,64,BatchNorm,relu,1,add,True,True,0.0001,0.0001,0.2,Clearance_Microsome_AZ,41.70152822205306,43.52266129154371,25.329620361328125,27.780303955078125,-0.01669536330544119,-0.020636132431001153,7,26.06,42,True,2.0
SAGE,2,64,BatchNorm,leaky_relu,1,mean,True,False,0.0001,0.0001,0.3,Clearance_Microsome_AZ,41.24661444440016,43.18641460285862,26.438444137573242,28.935550689697266,0.005365507824883764,-0.004926622897117872,4,25.11,42,True,
