Feature,Pearson_r,Spearman_rho,Pearson_p
Heteroatoms,-0.21719289210246776,-0.21271814520359378,1.5986139582923162e-10
TPSA,-0.20150955069209095,-0.19591781106404083,3.147316373980039e-09
HBD,-0.18672188119064084,-0.15505918108393518,4.232029350358476e-08
MW,-0.1383825270386003,-0.07930215893699047,5.217272125442454e-05
BertzCT,-0.13743145992825898,-0.06388567869829548,5.879346025066127e-05
HeavyAtoms,-0.11906871821397211,-0.045601891490757655,0.0005077377656919098
Chi0v,-0.10796266835156927,-0.038438929211375435,0.0016307430370489915
Lipinski_MW,-0.09144270691082337,-0.04226050112739912,0.0076740655225671275
MolMR,-0.08765697179792535,-0.005902056004204945,0.010610509185866812
HBA,-0.06017715293280917,-0.04969493590113596,0.07970108469737479
LogP,0.0490337588202612,0.14120485321935664,0.1534415805811492
Lipinski_HBA,-0.04041518785552469,-0.06124378517788793,0.2394560762656466
FractionCSP3,-0.034222424115065916,-0.053426127405407066,0.31925885554603883
Lipinski_HBD,-0.029518607542122748,-0.03199973351422808,0.3903286526795824
Lipinski_LogP,-0.01857087626009653,0.04709895560948575,0.588948636611856
AromaticRings,-0.01608960281019256,0.08211872581490752,0.6396758396349216
Rings,-0.009074149900100376,0.04541386882384169,0.7917684505320268
AliphaticRings,0.004783060635716406,-0.03494427662952102,0.8893218249006801
RotatableBonds,-0.0005394049965000118,0.03465412576122655,0.9874786616836992
