Feature,Pearson_r,Spearman_rho,Pearson_p
Rings,0.15348124995252702,0.19974214584950775,1.8675350746244775e-05
MolMR,0.12006559105786778,0.19316443903168556,0.0008361866277615955
RotatableBonds,0.11297125960193681,0.14028516599977522,0.0016789333585483478
HBA,0.1091022886077342,0.13000812817918844,0.002416741356266997
Chi0v,0.10867354271780791,0.1740273304232579,0.002514565698230652
HeavyAtoms,0.10705417868997356,0.16231079189483516,0.0029175362017830058
AliphaticRings,0.10639199302068297,0.08206273392736449,0.003098631805131047
LogP,0.08398470034686373,0.11931696552110495,0.0196832470321723
FractionCSP3,0.07158805609335533,0.08088124990810129,0.046911060730328635
MW,0.06827438831744553,0.11811298078597762,0.05810527598854495
BertzCT,0.06282056505170697,0.10240070513641075,0.08129459702981827
AromaticRings,0.059673933707374345,0.1269794995690922,0.09777312846890242
HBD,-0.05609711982536362,-0.017168893861035265,0.11962707611734641
Heteroatoms,-0.03276207566835006,-0.04313085986553694,0.3636306161036312
Lipinski_HBD,0.030590005131938096,0.04891793301248059,0.3963212556168891
Lipinski_HBA,0.0248128350330161,0.01834916525564852,0.4914759230240768
TPSA,-0.007966380014792824,-0.016144068465858336,0.8252122043631014
Lipinski_LogP,0.00783815821318132,0.02576545525797476,0.8279812039936433
Lipinski_MW,0.0034794286965311415,0.026966829937819438,0.9231580669108095
