Feature,Pearson_r,Spearman_rho,Pearson_p
AromaticRings,0.3403839580733345,0.22939495291766276,4.1915524764402845e-14
BertzCT,0.32677428085675947,0.20246591210484932,4.665741641301189e-13
Heteroatoms,0.21266482809067105,-0.01676374487462611,3.6292479352996623e-06
MW,0.19578047017201178,0.1506798296761274,2.079055818778716e-05
MolMR,0.1939270808102035,0.22164890935705153,2.4961392920526265e-05
HeavyAtoms,0.1922320181695963,0.19008532643806295,2.9460214854325712e-05
Chi0v,0.17793323322527121,0.18823587174623005,0.00011265057103790259
Rings,0.17557413171826966,0.2618907787932321,0.00013920424629629388
TPSA,0.1753037655268484,-0.07436762267026344,0.00014259748582638745
LogP,0.1545296167893541,0.297366410743446,0.0008169046514125744
Lipinski_HBD,0.1409937476013028,0.07705597711268149,0.002282968487502513
Lipinski_LogP,0.13493130225126124,0.12888026770958178,0.0035194531317859832
HBD,0.1333202716823295,-0.051567542516721035,0.003937318247107582
RotatableBonds,0.1225342418717293,0.023386144177482027,0.008096183873667749
Lipinski_HBA,0.12111104670115153,0.14947983994744288,0.00886943090394606
HBA,0.11644087962384897,-0.0036695227583061927,0.011888927351299294
FractionCSP3,-0.10299128183684352,-0.020164865260644232,0.026200964835693206
Lipinski_MW,0.09100724958771178,0.12842260810712466,0.04960248491652228
AliphaticRings,-0.04636896805859832,0.14135835958098394,0.3178831326175911
