MW,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,AliphaticRings,Heteroatoms,HeavyAtoms,FractionCSP3,MolMR,BertzCT,Chi0v,Rings,Lipinski_MW,Lipinski_LogP,Lipinski_HBD,Lipinski_HBA,Target,log_Target
135.20999999999998,1.5763,1,1,26.02,2,1,0,1,10,0.3333333333333333,43.79540000000002,174.4896154807834,6.248558665513929,1,0,0,0,0,7.3,1.9878743481543455
304.217,3.377900000000002,1,2,40.54,9,1,0,5,19,0.5,80.66880000000005,352.1296296686227,12.329610864583483,1,0,0,0,0,1.1,0.09531017980432493
277.368,1.7165999999999995,2,3,61.440000000000005,7,1,0,5,20,0.4666666666666667,80.86690000000004,417.85646187232345,12.40153837793238,1,0,0,0,0,6.4,1.8562979903656263
367.4460000000001,2.2288999999999994,2,6,91.34,5,1,0,8,26,0.5555555555555556,98.57950000000005,567.1657481842029,16.49114180630038,1,0,0,0,0,2.6,0.9555114450274363
187.286,2.1826,0,1,3.24,4,1,0,1,14,0.38461538461538464,61.07100000000004,291.5643909481188,8.902879042200436,1,0,0,0,0,1.3,0.26236426446749106
303.19999999999993,-1.052299999999998,0,2,29.540000000000003,2,1,0,5,17,0.4166666666666667,65.71900000000004,363.86985466429576,12.484285860810079,1,0,0,0,0,1.3,0.26236426446749106
153.137,0.6726000000000001,3,3,83.55,1,1,0,4,11,0.0,39.478500000000004,282.08982642577905,5.612076558222283,1,0,0,0,0,0.61,-0.4942963218147801
181.23499999999999,1.0351,3,3,52.489999999999995,4,1,0,3,13,0.4,51.61030000000003,249.9701524320101,7.6953920993211415,1,0,0,0,0,2.2,0.7884573603642703
179.219,2.0437,1,2,38.33,3,1,0,3,13,0.3,51.914700000000025,266.5947139279425,7.833004438872777,1,0,0,0,0,0.92,-0.08338160893905101
249.35399999999996,2.1528,2,3,41.49,8,1,0,3,18,0.4666666666666667,74.98350000000005,348.8108724292341,11.225340895037393,1,0,0,0,0,2.5,0.9162907318741551
151.165,1.3505999999999998,2,2,49.33,1,1,0,3,11,0.125,42.41050000000002,241.2457497788808,6.164862962722325,1,0,0,0,0,2.5,0.9162907318741551
777.0880000000001,-1.0143000000000004,8,8,188.45,10,1,0,14,31,0.47058823529411764,135.75509999999997,725.741716944375,22.62767907376309,1,1,0,1,0,2.1,0.7419373447293773
193.20200000000003,0.8911,2,2,66.4,4,1,0,4,14,0.2,51.02800000000002,306.0700121526738,7.5646750847489095,1,0,0,0,0,0.59,-0.527632742082372
211.261,1.1291999999999998,4,4,72.72,4,1,0,4,15,0.45454545454545453,57.870100000000036,309.8143909481188,8.935498913634552,1,0,0,0,0,0.41,-0.8915981192837836
178.27499999999995,3.6390000000000025,1,1,20.23,2,1,0,1,13,0.5,56.28480000000004,255.83982642577905,8.83396494144809,1,0,0,0,0,3.2,1.1631508098056809
272.37,1.0895000000000001,3,4,78.43,6,1,0,6,18,0.5,73.00700000000005,443.3166070525691,11.659663444143577,1,0,0,0,0,6.3,1.840549633397487
211.21699999999998,0.4423000000000001,4,4,103.78000000000002,3,1,0,5,15,0.3,53.703800000000015,369.6247421664592,8.266396934908789,1,0,0,0,0,5.9,1.7749523509116738
384.58600000000007,4.164000000000003,2,4,69.64,14,1,0,6,26,0.7,109.97530000000006,558.5608031804463,17.39348780113284,1,0,0,0,0,7.0,1.9459101490553132
325.449,2.3659,2,5,59.95,12,1,0,5,23,0.6666666666666666,91.82650000000007,385.0042667946855,14.748944257151669,1,0,0,0,0,10.0,2.302585092994046
270.354,1.78302,2,3,75.27000000000001,5,1,0,6,18,0.4166666666666667,69.80720000000004,469.2745249269933,11.380211163101325,1,0,0,0,0,7.0,1.9459101490553132
285.36499999999995,2.1955,1,3,74.68,7,1,0,6,19,0.46153846153846156,72.74210000000005,491.4742215936724,11.98174513528779,1,0,0,0,0,5.9,1.7749523509116738
821.1410000000001,-1.6274999999999986,8,9,199.89,12,1,0,15,34,0.5263157894736842,146.56419999999997,796.2746658188865,24.436319827136103,1,1,0,1,0,1.5,0.4054651081081644
305.29,1.7813800000000002,2,6,127.70000000000002,5,1,0,8,22,0.2857142857142857,77.94400000000002,643.3512630623127,12.107077218833354,1,0,0,0,0,2.4,0.8754687373538999
206.28499999999997,3.073200000000001,1,1,37.3,4,1,0,2,15,0.46153846153846156,61.03480000000004,316.396476403863,9.526670282288125,1,0,0,0,0,1.6,0.47000362924573563
234.343,2.5837400000000006,1,2,32.34,5,1,0,3,17,0.5,72.33370000000005,349.37474216645927,11.208833037092342,1,0,0,0,0,1.6,0.47000362924573563
303.14099999999996,3.6057000000000023,1,3,63.60000000000001,6,1,0,6,19,0.23076923076923078,73.35430000000004,515.0850024358393,11.715766186885807,1,0,0,0,0,0.5,-0.6931471805599453
263.385,2.813040000000001,3,2,53.160000000000004,6,1,0,4,19,0.5333333333333333,80.69310000000004,378.249379292522,12.33896971078201,1,0,0,0,0,5.0,1.6094379124341003
197.18999999999997,0.052200000000000135,4,4,103.78000000000002,3,1,0,5,14,0.2222222222222222,49.08680000000002,333.89158890169955,7.343747204098415,1,0,0,0,0,1.3,0.26236426446749106
305.205,1.925,2,3,66.56,8,1,0,6,19,0.46153846153846156,79.41020000000003,365.52971325833266,12.070097840589638,1,0,0,0,0,1.0,0.0
627.9420000000001,3.1397000000000013,2,3,86.71000000000001,3,1,0,9,21,0.25,104.94000000000001,611.6608606820395,17.725560354948154,1,1,0,0,0,1.3,0.26236426446749106
179.26299999999998,2.0294399999999997,1,2,35.25,3,1,0,2,13,0.45454545454545453,55.06040000000003,251.11684126423842,8.50210641759854,1,0,0,0,0,9.9,2.2925347571405443
250.34199999999998,2.7597000000000014,0,3,32.78,4,1,0,4,18,0.5,72.87200000000004,386.7797132583326,11.804781899062322,1,0,0,0,0,1.4,0.3364722366212129
295.379,1.5298999999999996,2,5,67.79,9,1,0,5,21,0.5625,81.41950000000004,396.5514164194121,12.964487206775495,1,0,0,0,0,0.15,-1.8971199848858813
613.9150000000002,2.5166000000000004,3,3,95.50000000000001,3,1,0,9,20,0.18181818181818182,99.24620000000003,582.7912531717924,16.778346759448198,1,1,0,0,0,1.3,0.26236426446749106
149.237,1.837,1,1,12.03,3,1,0,1,11,0.4,48.66770000000003,188.45310074746274,7.171208396324304,1,0,0,0,0,12.0,2.4849066497880004
192.262,1.58914,2,2,55.120000000000005,2,1,0,3,14,0.36363636363636365,58.195100000000025,311.64158890169955,8.794999636411992,1,0,0,0,0,12.0,2.4849066497880004
193.206,1.9451,1,3,65.26,3,1,0,5,14,0.2222222222222222,51.60430000000002,325.5608724292341,8.0065037492222,1,0,0,0,0,2.5,0.9162907318741551
231.26099999999997,3.2459000000000024,1,1,12.03,4,1,0,4,16,0.5,58.286700000000025,317.05534964618334,9.434858327348906,1,0,0,0,0,14.0,2.6390573296152584
276.745,1.7379,2,3,75.27000000000001,4,1,0,7,17,0.3,65.46320000000003,455.2647038490734,10.80699780094246,1,0,0,0,0,46.0,3.828641396489095
266.34099999999995,0.45210000000000006,3,4,84.57999999999998,8,1,0,5,19,0.5,73.98090000000003,369.52971325833266,11.42648240431471,1,0,0,0,0,6.1,1.8082887711792655
