Algorithm,Dataset,Metric,RandomValue,AlgoValue,AbsImprovement,RelImprovementPct,Outcome
PSO,Caco2_Wang,rmse,0.002707,0.003103,-0.000396,-14.6348,loss
PSO,Half_Life,rmse,22.314911,21.658035,0.656876,2.9437,win
PSO,Clear._Hep.,rmse,68.215508,70.206390,-1.990883,-2.9185,loss
PSO,Clear._Mic.,rmse,38.750580,42.758579,-4.007999,-10.3431,loss
PSO,Tox21,f1,0.469388,0.430108,-0.039280,-8.3684,loss
PSO,hERG,f1,0.833333,0.857143,0.023810,2.8571,win
ABC,Caco2_Wang,rmse,0.002707,0.002899,-0.000192,-7.1033,loss
ABC,Half_Life,rmse,22.314911,21.658035,0.656876,2.9437,win
ABC,Clear._Hep.,rmse,68.215508,72.042320,-3.826813,-5.6099,loss
ABC,Clear._Mic.,rmse,38.750580,42.288395,-3.537815,-9.1297,loss
ABC,Tox21,f1,0.469388,0.463158,-0.006230,-1.3272,loss
ABC,hERG,f1,0.833333,0.808743,-0.024590,-2.9508,loss
GA,Caco2_Wang,rmse,0.002707,0.003103,-0.000396,-14.6348,loss
GA,Half_Life,rmse,22.314911,21.658035,0.656876,2.9437,win
GA,Clear._Hep.,rmse,68.215508,71.344833,-3.129326,-4.5874,loss
GA,Clear._Mic.,rmse,38.750580,42.288395,-3.537815,-9.1297,loss
GA,Tox21,f1,0.469388,0.463158,-0.006230,-1.3272,loss
GA,hERG,f1,0.833333,0.857143,0.023810,2.8571,win
SA,Caco2_Wang,rmse,0.002707,0.002876,-0.000169,-6.2438,loss
SA,Half_Life,rmse,22.314911,23.695080,-1.380169,-6.1850,loss
SA,Clear._Hep.,rmse,68.215508,72.042320,-3.826813,-5.6099,loss
SA,Clear._Mic.,rmse,38.750580,40.940361,-2.189781,-5.6510,loss
SA,Tox21,f1,0.469388,0.455446,-0.013942,-2.9703,loss
SA,hERG,f1,0.833333,0.858586,0.025253,3.0303,win
HC,Caco2_Wang,rmse,0.002707,0.002995,-0.000288,-10.6564,loss
HC,Half_Life,rmse,22.314911,24.523767,-2.208857,-9.8986,loss
HC,Clear._Hep.,rmse,68.215508,72.042320,-3.826813,-5.6099,loss
HC,Clear._Mic.,rmse,38.750580,41.634739,-2.884159,-7.4429,loss
HC,Tox21,f1,0.469388,0.432990,-0.036398,-7.7544,loss
HC,hERG,f1,0.833333,0.829787,-0.003546,-0.4255,loss
