dataset,task,seed,metric,rmse_log,mae_log,rmse_orig,auc_roc,source
Caco2_Wang,regression,42,RMSE,0.840,0.671,0.0041,,docs/DOCUMENTATION.md Appendix H
Caco2_Wang,regression,123,RMSE,0.594,0.449,0.0034,,docs/DOCUMENTATION.md Appendix H
Caco2_Wang,regression,456,RMSE,0.432,0.347,0.0026,,docs/DOCUMENTATION.md Appendix H
Caco2_Wang,regression,789,RMSE,0.577,0.434,0.0032,,docs/DOCUMENTATION.md Appendix H
Caco2_Wang,regression,1011,RMSE,0.543,0.420,0.0030,,docs/DOCUMENTATION.md Appendix H
Half_Life_Obach,regression,42,RMSE,1.133,0.874,19.51,,docs/DOCUMENTATION.md Appendix H
Half_Life_Obach,regression,123,RMSE,1.383,1.104,21.83,,docs/DOCUMENTATION.md Appendix H
Half_Life_Obach,regression,456,RMSE,1.146,0.903,19.15,,docs/DOCUMENTATION.md Appendix H
Half_Life_Obach,regression,789,RMSE,1.149,0.866,19.22,,docs/DOCUMENTATION.md Appendix H
Half_Life_Obach,regression,1011,RMSE,1.537,1.235,20.56,,docs/DOCUMENTATION.md Appendix H
Clearance_Hepatocyte_AZ,regression,42,RMSE,1.391,1.117,53.92,,docs/DOCUMENTATION.md Appendix H
Clearance_Hepatocyte_AZ,regression,123,RMSE,1.408,1.126,56.32,,docs/DOCUMENTATION.md Appendix H
Clearance_Hepatocyte_AZ,regression,456,RMSE,1.220,1.015,48.74,,docs/DOCUMENTATION.md Appendix H
Clearance_Hepatocyte_AZ,regression,789,RMSE,1.350,1.117,52.46,,docs/DOCUMENTATION.md Appendix H
Clearance_Hepatocyte_AZ,regression,1011,RMSE,1.308,1.079,50.40,,docs/DOCUMENTATION.md Appendix H
Clearance_Microsome_AZ,regression,42,RMSE,1.396,1.174,53.74,,docs/DOCUMENTATION.md Appendix H
Clearance_Microsome_AZ,regression,123,RMSE,1.185,1.028,41.02,,docs/DOCUMENTATION.md Appendix H
Clearance_Microsome_AZ,regression,456,RMSE,1.782,1.531,78.85,,docs/DOCUMENTATION.md Appendix H
Clearance_Microsome_AZ,regression,789,RMSE,1.357,1.172,51.30,,docs/DOCUMENTATION.md Appendix H
Clearance_Microsome_AZ,regression,1011,RMSE,1.176,0.944,42.40,,docs/DOCUMENTATION.md Appendix H
tox21,classification,42,AUC,,,,0.726,docs/DOCUMENTATION.md Appendix H
tox21,classification,123,AUC,,,,0.724,docs/DOCUMENTATION.md Appendix H
tox21,classification,456,AUC,,,,0.693,docs/DOCUMENTATION.md Appendix H
tox21,classification,789,AUC,,,,0.705,docs/DOCUMENTATION.md Appendix H
tox21,classification,1011,AUC,,,,0.710,docs/DOCUMENTATION.md Appendix H
herg,classification,42,AUC,,,,0.809,docs/DOCUMENTATION.md Appendix H
herg,classification,123,AUC,,,,0.791,docs/DOCUMENTATION.md Appendix H
herg,classification,456,AUC,,,,0.817,docs/DOCUMENTATION.md Appendix H
herg,classification,789,AUC,,,,0.837,docs/DOCUMENTATION.md Appendix H
herg,classification,1011,AUC,,,,0.772,docs/DOCUMENTATION.md Appendix H
