dataset,task,seed,train_time,test_rmse,test_mae,test_r2,test_auc_roc,test_f1,test_accuracy
Caco2_Wang,Regression,42,48.76124382019043,0.003306703409180045,0.00272933766245842,0.22609996795654297,,,
Caco2_Wang,Regression,43,33.323699712753296,0.0031120216008275747,0.0025596830528229475,0.31454402208328247,,,
Caco2_Wang,Regression,44,46.55682444572449,0.0026565606240183115,0.0019893920980393887,0.5005018711090088,,,
Half_Life_Obach,Regression,42,13.647724866867065,23.13772964477539,11.587225914001465,-0.13699674606323242,,,
Half_Life_Obach,Regression,43,9.397000074386597,20.009830474853516,9.024405479431152,0.14963692426681519,,,
Half_Life_Obach,Regression,44,25.088000774383545,19.989303588867188,8.400574684143066,0.15138065814971924,,,
Clearance_Hepatocyte_AZ,Regression,42,16.99599862098694,47.00067901611328,32.10320281982422,0.041439056396484375,,,
Clearance_Hepatocyte_AZ,Regression,43,15.373735904693604,184.49026489257812,42.96075439453125,-10.0,,,
Clearance_Hepatocyte_AZ,Regression,44,18.581900358200073,59.142799377441406,40.83049774169922,-0.517802357673645,,,
Clearance_Microsome_AZ,Regression,42,11.64285922050476,40.88640594482422,25.08730697631836,0.09926313161849976,,,
Clearance_Microsome_AZ,Regression,43,32.87617516517639,38.27349090576172,23.073392868041992,0.21071076393127441,,,
Clearance_Microsome_AZ,Regression,44,29.223002672195435,40.39824295043945,24.179100036621094,0.1206434965133667,,,
tox21,Classification,42,101.1852867603302,,,,0.728317808442551,0.5102040816326531,0.9669649002064694
tox21,Classification,43,104.27160286903381,,,,0.7300503454882696,0.4444444444444444,0.9587061252580867
tox21,Classification,44,143.36595153808594,,,,0.7393041315912843,0.4642857142857143,0.9587061252580867
herg,Classification,42,11.325960636138916,,,,0.7159057437407953,0.8695652173913043,0.7954545454545454
herg,Classification,43,7.7620275020599365,,,,0.7541973490427099,0.8272251308900523,0.75
herg,Classification,44,13.251001596450806,,,,0.7494845360824742,0.8695652173913043,0.7954545454545454
