dataset,model,task_type,train_size,test_size,test_rmse,test_r2,test_mae,valid_rmse,valid_r2,embed_time,train_time,total_time,status,test_auc,test_f1,test_acc,valid_auc
Caco2_Wang,Morgan-FP,regression,637.0,182.0,0.6137966415307186,0.2002980991329233,0.4883480379759737,0.6171436073609106,0.3546032808004942,1.6589961051940918,0.4290008544921875,2.08799695968628,success,,,,
Caco2_Wang,ChemBERTa,regression,637.0,182.0,0.4957673736797603,0.4782829885441562,0.3785559230794382,0.6668760505572792,0.2463936907189006,33.05631160736084,0.4000024795532226,33.45631408691406,success,,,,
Caco2_Wang,BioMed-IBM,regression,637.0,182.0,,,,,,,,,skipped,,,,
Caco2_Wang,MolE-FP,regression,637.0,182.0,0.6699750892898277,0.0472116829804883,0.5362094378616166,0.6980350612720454,0.1743257166085977,1.706801176071167,0.4510016441345215,2.1578028202056885,success,,,,
Half_Life_Obach,Morgan-FP,regression,466.0,135.0,22.123402589009988,-0.0394930636041261,9.810519472192835,106.10949436241148,-0.0226426836794064,0.9559767246246338,0.1310009956359863,1.08697772026062,success,,,,
Half_Life_Obach,ChemBERTa,regression,466.0,135.0,27.39479005381212,-0.5938729630242279,17.14835866490117,109.6772535831119,-0.0925682081996488,24.11602282524109,0.1559982299804687,24.27202105522156,success,,,,
Half_Life_Obach,BioMed-IBM,regression,466.0,135.0,,,,,,,,,skipped,,,,
Half_Life_Obach,MolE-FP,regression,466.0,135.0,25.0124008288518,-0.3287048193293387,14.435755831965691,104.935408178826,-0.0001371005655144,0.938002109527588,0.1329965591430664,1.0709986686706543,success,,,,
Clearance_Hepatocyte_AZ,Morgan-FP,regression,849.0,243.0,48.357278345793695,-0.0146941689860953,38.07388932279108,46.43163561518857,0.1371329004877792,1.6099748611450195,0.3210008144378662,1.9309756755828853,success,,,,
Clearance_Hepatocyte_AZ,ChemBERTa,regression,849.0,243.0,47.31285091130837,0.0286635171164495,40.66834776450577,49.93487985882165,0.0020151153713993,24.895912885665894,0.2470006942749023,25.1429135799408,success,,,,
Clearance_Hepatocyte_AZ,BioMed-IBM,regression,849.0,243.0,,,,,,,,,skipped,,,,
Clearance_Hepatocyte_AZ,MolE-FP,regression,849.0,243.0,47.22391197651993,0.0323119311356525,38.00101126745404,47.10869905257944,0.111784869692333,1.7360002994537354,0.2239992618560791,1.9599995613098145,success,,,,
Clearance_Microsome_AZ,Morgan-FP,regression,771.0,221.0,40.35958344039684,0.1223256138135381,29.415045211930085,43.42728332509146,-0.1025855201240621,1.619002103805542,0.4360039234161377,2.05500602722168,success,,,,
Clearance_Microsome_AZ,ChemBERTa,regression,771.0,221.0,42.5634415336387,0.0238567703255927,31.505549454149616,40.48045836585129,0.0419728798694468,20.515965938568115,0.2960014343261719,20.811967372894287,success,,,,
Clearance_Microsome_AZ,BioMed-IBM,regression,771.0,221.0,,,,,,,,,skipped,,,,
Clearance_Microsome_AZ,MolE-FP,regression,771.0,221.0,41.78548679126417,0.0592136536706239,30.26078665547781,41.60340597573317,-0.0119166319761456,1.5890007019042969,0.3331012725830078,1.922101974487305,success,,,,
tox21,Morgan-FP,classification,5080.0,1453.0,,,,,,8.91699767112732,1.3630292415618896,10.280026912689207,success,0.7223558427264019,0.3095238095238095,0.960082587749484,0.877444203041675
tox21,ChemBERTa,classification,5080.0,1453.0,,,,,,159.97983312606812,1.425610065460205,161.40544319152832,success,0.7279407268502476,0.3298969072164948,0.955264969029594,0.8962818487063007
tox21,BioMed-IBM,classification,5080.0,1453.0,,,,,,,,,skipped,,,,
tox21,MolE-FP,classification,5080.0,1453.0,,,,,,9.221884727478027,1.8050010204315183,11.026885747909546,success,0.6748537534905525,0.391304347826087,0.961459050240881,0.8590262690104681
herg,Morgan-FP,classification,458.0,132.0,,,,,,0.8800010681152344,0.1049988269805908,0.9849998950958252,success,0.6110456553755523,0.8471615720524017,0.7348484848484849,0.655
herg,ChemBERTa,classification,458.0,132.0,,,,,,16.84921360015869,0.2053971290588379,17.05461072921753,success,0.7702503681885126,0.8727272727272727,0.7878787878787878,0.797
herg,BioMed-IBM,classification,458.0,132.0,,,,,,,,,skipped,,,,
herg,MolE-FP,classification,458.0,132.0,,,,,,1.0919997692108154,0.255007266998291,1.3470070362091064,success,0.6723122238586156,0.8571428571428571,0.7651515151515151,0.6759999999999999
Caco2_Wang,GNN-Best,regression,,,0.0027067479677498,0.4814506769180298,0.0020158602856099,,,,,,success,,,,
Half_Life_Obach,GNN-Best,regression,,,21.658035278320312,0.0037786960601806,9.125238418579102,,,,,,success,,,,
Clearance_Hepatocyte_AZ,GNN-Best,regression,,,68.21550750732422,-1.019192457199097,35.20566940307617,,,,,,success,,,,
Clearance_Microsome_AZ,GNN-Best,regression,,,38.750579833984375,0.1909105777740478,28.26401138305664,,,,,,success,,,,
tox21,GNN-Best,classification,,,,,,,,,,,success,0.7424634638511242,0.4554455445544554,0.9621472814865796,
herg,GNN-Best,classification,,,,,,,,,,,success,0.8245949926362297,0.8087431693989071,0.7348484848484849,
Caco2_Wang,MolCLR,regression,637.0,182.0,0.7485347078833019,-0.1893317081644723,0.598705796026276,0.8055396079339016,-0.0995831662044965,18.07099962234497,0.2549982070922851,18.325997829437256,success,,,,
Half_Life_Obach,MolCLR,regression,466.0,135.0,21.711054020699358,-0.0011048529753321,9.615761958369502,106.89003598688883,-0.0377431423616889,12.01500153541565,0.4310002326965332,12.446001768112184,success,,,,
Clearance_Hepatocyte_AZ,MolCLR,regression,849.0,243.0,48.92344940771466,-0.038593510976733,42.29049825409312,51.22149322425172,-0.0500752319295112,21.510002374649048,0.2799990177154541,21.790001392364506,success,,,,
