Dataset,Model_Name,N_Experiments,Mean_Test_RMSE,Std_Test_RMSE,Min_Test_RMSE,Max_Test_RMSE,Mean_Test_R2,Max_Test_R2
Clearance_Hepatocyte_AZ,Graph,9,39.4447,21.7442,1.1921,54.1759,-0.0607,0.0868
Clearance_Hepatocyte_AZ,GCN,10,47.2285,53.9011,1.2214,175.3325,-1.5024,0.0413
Clearance_Hepatocyte_AZ,TAG,11,36.3513,28.9706,1.2302,77.9755,-0.2674,0.0274
Clearance_Hepatocyte_AZ,SGC,12,169.2754,392.4834,1.2417,1404.4459,-72.8727,0.0092
Clearance_Hepatocyte_AZ,Transformer,4,25.6669,28.1684,1.2768,51.3696,-0.0788,-0.0299
Clearance_Hepatocyte_AZ,GIN,7,50.4476,25.2329,1.3388,87.3756,-0.5055,-0.1257
Clearance_Hepatocyte_AZ,SAGE,19,219.8435,339.5263,49.6934,1404.2088,-67.3609,-0.0715
Clearance_Hepatocyte_AZ,GAT,7,67.4931,36.5689,50.794,142.1005,-1.4602,-0.1195
Clearance_Microsome_AZ,Graph,9,33.0148,18.1722,1.0184,43.4909,0.1032,0.3208
Clearance_Microsome_AZ,TAG,11,26.8402,20.4964,1.0407,45.4313,0.1069,0.2908
Clearance_Microsome_AZ,GIN,8,32.3494,19.3555,1.075,44.3931,0.0633,0.2433
Clearance_Microsome_AZ,Transformer,4,20.9333,22.8166,1.15,41.6293,0.0937,0.1493
Clearance_Microsome_AZ,GCN,9,28.2034,20.5586,1.1981,50.1229,0.0398,0.2826
Clearance_Microsome_AZ,SGC,12,33.9854,15.4587,1.2351,44.0775,0.0931,0.259
Clearance_Microsome_AZ,SAGE,19,44.2035,11.0441,37.431,86.7157,-0.1151,0.2451
Clearance_Microsome_AZ,GAT,7,43.333,2.1099,39.7847,45.3193,-0.0138,0.1472
Half_Life_Obach,Graph,16,16.6386,6.6597,0.8388,24.0368,0.2185,0.3842
Half_Life_Obach,GCN,20,15.3015,7.8727,0.9492,24.9065,0.1704,0.4684
Half_Life_Obach,TAG,20,30.6683,65.0046,0.9588,297.6899,-9.7154,0.4044
Half_Life_Obach,GIN,17,18.0217,4.6584,0.9849,21.2059,0.2083,0.3918
Half_Life_Obach,Transformer,9,12.8788,9.7056,1.0269,20.8019,-0.0996,0.3268
Half_Life_Obach,SGC,27,17.9903,5.1991,1.0651,22.7473,0.1649,0.3991
Half_Life_Obach,GAT,15,474.6816,1702.8855,17.2211,6391.1786,-6196.3328,0.3701
Half_Life_Obach,SAGE,49,19.4946,1.2672,17.2931,21.9956,0.1895,0.3649
