model_name,model_version,dataset_name,val_rmse,test_rmse,test_r2,graph_layers,graph_hidden_channels,learning_rate,dropout,use_edge_features
Graph,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.0170117813898312,1.192096947747019,0.0867676489421391,5,128,0.001,,
Graph,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.0730571778271143,1.1944560055333404,0.0831496553765134,5,128,0.001,,
GCN,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1352376300916576,1.221420882733843,0.0412865556934173,3,64,0.001,,
GCN,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1163127115197211,1.227817452241848,0.0312187156328246,5,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.0997642286090856,1.2302195947676997,0.0274242962354541,2,64,0.001,,
GCN,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1196753803760933,1.2305947859868307,0.0268309753206203,5,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1467285935919842,1.2359247739886612,0.0183826830276844,5,64,0.001,,
SGC,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1679332306733272,1.2417005148163458,0.009186630186047,5,128,0.001,,
SGC,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1666911610802202,1.25327801043752,-0.0093760025929565,2,128,0.001,,
TAG,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1374570146759817,1.254315936223801,-0.011048562377794,2,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1173324490929095,1.265946100262743,-0.0298846054014771,2,64,0.001,,
Transformer,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1765827476106805,1.2768495402736413,-0.0477015460197329,3,64,0.001,,
Transformer,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1488301131546783,1.303962186112964,-0.0926677638819346,2,32,0.001,,
GCN,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1491175603759574,1.3089187901617834,-0.1009904207584306,3,32,0.001,,
GIN,tdc_excretion_plus,Clearance_Hepatocyte_AZ,1.1787881517759131,1.3387593143114185,-0.1517630632481119,5,128,0.001,,
GCN,fixed_molecular_gnn,Clearance_Hepatocyte_AZ,43.80965519918954,47.17959112115508,0.0341276876051901,4,128,0.001,0.1,False
TAG,fixed_molecular_gnn,Clearance_Hepatocyte_AZ,47.97681884498362,48.28220063789036,-0.0115458580437983,3,128,0.001,0.1,False
Transformer,fixed_molecular_gnn,Clearance_Hepatocyte_AZ,49.87168104558437,48.7173192742132,-0.0298598727410193,2,128,0.001,0.2,False
SGC,fixed_molecular_gnn,Clearance_Hepatocyte_AZ,48.00385268962143,48.7647138251946,-0.0318648604813243,4,128,0.001,0.2,True
TAG,fixed_molecular_gnn,Clearance_Hepatocyte_AZ,47.59015395968214,48.78439541829052,-0.0326977376216572,2,256,0.001,0.2,False
