model_name,model_version,dataset_name,val_rmse,test_rmse,test_r2,graph_layers,graph_hidden_channels,learning_rate,dropout,use_edge_features
Graph,tdc_excretion_plus,Clearance_Microsome_AZ,0.9392550570930842,1.0184334877592955,0.3208277377823676,5,128,0.001,,
Graph,tdc_excretion_plus,Clearance_Microsome_AZ,0.9728245110877752,1.0218538451265258,0.3162581458795563,5,128,0.001,,
TAG,tdc_excretion_plus,Clearance_Microsome_AZ,1.0031900782880876,1.040727815331587,0.2907670201300866,5,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Microsome_AZ,1.0383725277609628,1.0648961816251246,0.2574441259282601,5,64,0.001,,
GIN,tdc_excretion_plus,Clearance_Microsome_AZ,0.907873278370816,1.075001102269517,0.2432848699521268,5,128,0.001,,
GIN,tdc_excretion_plus,Clearance_Microsome_AZ,1.0090180512884437,1.1152119275187249,0.1856156678150881,5,128,0.001,,
Transformer,tdc_excretion_plus,Clearance_Microsome_AZ,1.1142771231927957,1.1499937762216417,0.1340245537120842,3,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Microsome_AZ,1.1035992886046342,1.1804133323319823,0.0876051810154496,2,64,0.001,,
TAG,tdc_excretion_plus,Clearance_Microsome_AZ,1.099405652649539,1.1911217521809754,0.0709760504681368,2,64,0.001,,
GCN,tdc_excretion_plus,Clearance_Microsome_AZ,1.079555391877355,1.1980790677765587,0.0600915385901712,3,32,0.001,,
Transformer,tdc_excretion_plus,Clearance_Microsome_AZ,1.111141034888939,1.2199898795192752,0.0253985474105835,2,32,0.001,,
SGC,tdc_excretion_plus,Clearance_Microsome_AZ,1.1108361950489527,1.2351051778446829,0.0010989189416827,2,128,0.001,,
SGC,tdc_excretion_plus,Clearance_Microsome_AZ,1.1054464277298508,1.2367770809603853,-0.0016072411554586,5,128,0.001,,
GCN,tdc_excretion_plus,Clearance_Microsome_AZ,1.1306508453434807,1.2427736255070678,-0.011343422550297,5,64,0.001,,
GCN,tdc_excretion_plus,Clearance_Microsome_AZ,1.1202778256209769,1.244168459402753,-0.0136148703599983,3,64,0.001,,
GCN,fixed_molecular_gnn,Clearance_Microsome_AZ,34.87785431587912,36.48991526457173,0.282559710218308,4,128,0.001,0.1,False
SGC,fixed_molecular_gnn,Clearance_Microsome_AZ,36.61236750200077,37.08309760429524,0.259044611513195,4,128,0.0005,0.1,True
SAGE,fixed_molecular_gnn,Clearance_Microsome_AZ,36.9522297724542,37.43098140766049,0.2450773070618702,4,128,0.001,0.1,True
SAGE,fixed_molecular_gnn,Clearance_Microsome_AZ,37.98432840134945,37.67431652965403,0.2352300466445027,2,256,0.001,0.1,False
SGC,fixed_molecular_gnn,Clearance_Microsome_AZ,38.28984278561189,37.78963345263321,0.2305411287144776,3,128,0.001,0.2,True
