model_name,model_version,dataset_name,val_rmse,test_rmse,test_r2,graph_layers,graph_hidden_channels,learning_rate,dropout,use_edge_features
Graph,tdc_excretion_plus,Half_Life_Obach,1.1294020253818051,0.838772503057792,0.2764995429181458,5,128,0.001,,
Graph,tdc_excretion_plus,Half_Life_Obach,1.0960476311615204,0.916798304006912,0.1356332693373462,5,128,0.001,,
GCN,tdc_excretion_plus,Half_Life_Obach,1.281347829293797,0.9492067249933565,0.0734431884404714,3,64,0.001,,
TAG,tdc_excretion_plus,Half_Life_Obach,1.320659524129636,0.9588128769808372,0.0545944309855453,2,64,0.001,,
TAG,tdc_excretion_plus,Half_Life_Obach,1.2992053867921354,0.965982174785896,0.0404034782175102,2,64,0.001,,
GCN,tdc_excretion_plus,Half_Life_Obach,1.2496664078943598,0.9681696845640364,0.0360524588871563,5,64,0.001,,
GCN,tdc_excretion_plus,Half_Life_Obach,1.1927146855925046,0.9755763453412012,0.0212473224482918,3,32,0.001,,
GIN,tdc_excretion_plus,Half_Life_Obach,1.3311727223778955,0.9849226200382044,0.0024040816131636,5,128,0.001,,
GCN,tdc_excretion_plus,Half_Life_Obach,1.0940753452883891,1.0266360321882728,-0.0838855980537987,3,32,0.001,,
Transformer,tdc_excretion_plus,Half_Life_Obach,1.1684744770231783,1.026897260873871,-0.0844372600335856,3,64,0.001,,
SGC,tdc_excretion_plus,Half_Life_Obach,1.277552316419314,1.065088484943231,-0.1665995886551099,5,128,0.001,,
SGC,tdc_excretion_plus,Half_Life_Obach,1.2645625140483725,1.1001826633164369,-0.2447439791905203,2,128,0.001,,
Transformer,tdc_excretion_plus,Half_Life_Obach,1.347004785502315,1.1899351950237975,-0.4561196415064816,2,32,0.001,,
Transformer,tdc_excretion_plus,Half_Life_Obach,1.182923835543661,1.4107864113110262,-1.0467885365600282,3,64,0.001,,
TAG,tdc_excretion_plus,Half_Life_Obach,1.3235671879482294,1.4634853727797663,-1.202557284271237,5,64,0.001,,
GCN,fixed_molecular_gnn,Half_Life_Obach,104.47693375812672,15.82094713233258,0.4684027273670031,3,256,0.0005,0.1,True
GCN,fixed_molecular_gnn,Half_Life_Obach,103.29986122026013,16.509524284177413,0.4211221870787112,4,128,0.001,0.1,False
GCN,fixed_molecular_gnn,Half_Life_Obach,105.0814276897326,16.62022664086594,0.4133329876594434,4,64,0.001,0.2,True
TAG,fixed_molecular_gnn,Half_Life_Obach,105.37648278909292,16.746243639258047,0.4044028699574834,2,256,0.001,0.2,False
SGC,fixed_molecular_gnn,Half_Life_Obach,105.43413320795358,16.821238689374866,0.3990563750907406,2,128,0.001,0.1,True
